slug	name_en	name_sv	ror
bth	Blekinge Institute of Technology	Blekinge tekniska högskola	https://ror.org/0093a8w51
chalmers	Chalmers University of Technology	Chalmers tekniska högskola	https://ror.org/040wg7k59
du	Dalarna University	Högskolan Dalarna	https://ror.org/000hdh770
ehs	University College Stockholm	Enskilda Högskolan Stockholm	https://ror.org/01kdbb633
fhs	Swedish Defence University	Försvarshögskolan	https://ror.org/01js4x705
gih	The Swedish School of Sport and Health Sciences	Gymnastik- och idrottshögskolan	https://ror.org/046hach49
gu	University of Gothenburg	Göteborgs universitet	https://ror.org/01tm6cn81
hb	University of Borås	Högskolan i Borås	https://ror.org/01fdxwh83
hh	Halmstad University	Högskolan i Halmstad	https://ror.org/03h0qfp10
hhs	Stockholm School of Economics	Handelshögskolan i Stockholm	https://ror.org/01s5jzh92
hig	University of Gävle	Högskolan i Gävle	https://ror.org/043fje207
his	University of Skövde	Högskolan i Skövde	https://ror.org/051mrsz47
hv	University West	Högskolan Väst	https://ror.org/0257kt353
ju	Jönköping University	Jönköping University	https://ror.org/03t54am93
kau	Karlstad University	Karlstads universitet	https://ror.org/05s754026
khr	Kristianstad University	Högskolan Kristianstad	https://ror.org/00tkrft03
ki	Karolinska Institutet	Karolinska institutet	https://ror.org/056d84691
kmh	Royal College of Music	Kungliga musikhögskolan	https://ror.org/017jyhg36
kth	KTH Royal Institute of Technology	Kungliga tekniska högskolan	https://ror.org/026vcq606
liu	Linköping University	Linköpings universitet	https://ror.org/05ynxx418
lnu	Linnaeus University	Linnéuniversitetet	https://ror.org/00j9qag85
ltu	Luleå University of Technology	Luleå tekniska universitet	https://ror.org/016st3p78
lu	Lund University	Lunds universitet	https://ror.org/012a77v79
mau	Malmö University	Malmö universitet	https://ror.org/05wp7an13
mdu	Mälardalen University	Mälardalens universitet	https://ror.org/033vfbz75
miun	Mid Sweden University	Mittuniversitetet	https://ror.org/019k1pd13
oru	Örebro University	Örebro universitet	https://ror.org/05kytsw45
polar	Swedish Polar Research Secretariat	Polarforskningssekretariatet	https://ror.org/02t64n115
rise	RISE Research Institutes of Sweden	RISE Research Institutes of Sweden	https://ror.org/03nnxqz81
sh	Södertörn University	Södertörns högskola	https://ror.org/00d973h41
shh	Sophiahemmet University	Sophiahemmet Högskola	https://ror.org/01aem0w72
slu	Swedish University of Agricultural Sciences	Sveriges lantbruksuniversitet	https://ror.org/02yy8x990
su	Stockholm University	Stockholms universitet	https://ror.org/05f0yaq80
sva	Swedish Veterinary Agency	Statens veterinärmedicinska anstalt	https://ror.org/00awbw743
swedgeo	Swedish Geotechnical Institute	Statens geotekniska institut	https://ror.org/02j2xmd27
umu	Umeå University	Umeå universitet	https://ror.org/05kb8h459
uu	Uppsala University	Uppsala universitet	https://ror.org/048a87296